Subj.Trial,A,B,C,D,E,Rating
110,282,110,293,250,435,0
111,281,198,300,404,434,0
112,280,237,254,79,275,0
113,668,578,579,410,641,1
114,667,603,584,171,531,1
115,666,579,616,375,647,1
116,665,538,572,249,530,1
117,279,354,344,350,350,1
118,664,410,276,431,414,1
119,278,312,324,390,433,0
120,663,677,673,46,671,1
121,277,343,339,391,291,0
122,276,564,648,601,668,1
123,275,150,185,220,74,0
124,367,561,524,661,473,1
125,662,672,671,541,650,1
126,274,57,130,58,136,0
127,661,634,685,366,651,1
128,273,616,653,344,667,0
129,660,351,551,286,576,1
130,659,536,570,545,640,1
131,658,220,202,125,408,1
132,272,168,395,300,676,0
133,657,427,599,635,626,1
134,371,313,325,603,349,0
135,656,527,609,506,53,1
136,655,657,630,548,535,1
137,654,334,334,528,212,1
138,653,260,209,348,407,0
139,271,235,402,619,456,0
140,270,202,120,399,129,0
141,652,667,670,636,542,1
142,269,364,347,328,109,0
143,334,214,122,550,165,0
144,651,459,368,552,507,1
145,268,709,713,660,716,1
146,267,273,211,11,599,0
147,650,19,9,276,77,0
148,649,244,154,669,100,1
149,648,325,218,625,255,1
150,385,197,244,30,274,0
151,647,134,73,218,233,1
152,646,599,583,155,575,0
153,377,605,665,628,399,1
154,266,4,2,443,30,0
155,265,466,439,416,220,1
156,645,104,137,693,99,1
157,264,390,426,109,455,0
158,263,203,121,361,69,0
159,262,484,563,615,394,0
160,644,702,712,611,655,1
161,643,700,710,322,709,1
162,642,85,103,667,46,1
163,641,685,700,384,653,1
164,261,541,573,319,529,0
165,640,358,552,406,480,1
166,639,185,194,72,185,1
167,260,617,463,201,366,0
168,638,697,709,217,708,1
169,637,620,667,441,541,1
170,259,529,450,568,365,0
171,368,701,711,9,707,1
172,258,471,603,455,397,0
173,257,149,113,423,164,0
174,256,475,503,505,565,0
175,255,432,434,499,454,0
176,254,31,24,685,229,0
177,636,49,60,709,42,1
178,253,327,268,429,273,0
179,360,663,694,221,596,1
180,252,248,305,130,432,0
181,635,602,535,519,564,1
182,251,107,108,244,128,0
183,634,556,522,239,472,1
184,633,640,623,642,583,1
185,632,462,438,152,513,1
186,631,154,187,694,323,0
187,630,397,354,435,506,1
188,250,572,577,489,617,0
189,629,43,44,4,38,1
190,628,641,589,313,479,1
191,627,621,683,556,633,1
192,626,94,172,612,494,1
193,625,101,106,302,127,1
194,624,419,432,146,453,0
195,249,64,168,187,184,0
196,248,118,139,514,171,0
197,623,251,306,610,505,1
198,247,72,97,695,126,0
199,622,497,604,88,534,0
200,246,75,134,24,403,0
201,245,429,554,382,528,0
202,621,658,669,394,630,1
203,244,143,183,539,183,0
204,620,236,304,108,504,1
205,352,11,11,427,31,0
206,243,495,162,19,135,0
207,242,111,110,623,45,1
208,241,22,126,47,134,0
209,240,321,328,459,550,0
210,619,509,510,460,563,1
211,239,465,559,681,574,1
212,238,618,464,296,555,1
213,618,686,636,535,646,1
214,237,190,243,472,333,0
215,236,29,291,225,348,0
216,235,13,89,690,125,0
217,617,436,435,549,297,1
218,616,512,448,507,452,1
219,234,119,49,133,80,0
220,615,517,449,420,451,1
221,233,165,190,280,254,0
222,232,591,532,139,562,0
223,614,633,654,339,398,1
224,613,665,592,326,225,1
225,231,126,140,409,71,0
226,230,212,248,330,496,0
227,229,93,66,464,162,0
228,612,626,622,367,663,1
229,228,63,132,38,240,0
230,227,588,581,646,573,0
231,611,560,576,432,572,1
232,226,305,323,400,431,0
233,225,250,207,485,253,0
234,610,693,638,307,582,0
235,224,80,101,271,163,0
236,223,205,197,517,182,0
237,222,368,419,662,152,0
238,609,559,523,631,471,1
239,608,478,561,379,571,1
240,607,537,571,299,307,1
241,221,363,417,261,450,0
242,220,79,34,570,55,1
243,219,256,258,468,413,0
244,218,277,263,282,272,0
245,217,408,490,524,561,0
246,216,348,341,465,347,0
247,606,681,707,172,717,0
248,605,108,109,66,124,1
249,604,481,373,355,430,1
250,215,692,701,385,227,0
251,214,544,518,554,389,0
252,603,10,26,6,35,1
253,213,639,699,279,705,0
254,602,17,22,285,490,1
255,601,210,199,281,252,1
256,212,655,628,520,308,0
257,211,416,598,599,625,1
258,600,87,47,493,8,1
259,599,288,315,147,346,1
260,598,394,488,195,388,1
261,597,84,169,671,406,1
262,210,546,519,605,387,0
263,209,201,301,264,602,0
264,596,268,51,27,160,1
265,208,117,175,438,102,0
266,595,405,275,255,199,1
267,207,440,556,469,570,0
268,594,15,8,51,24,1
269,206,208,198,210,181,0
270,593,648,703,496,695,1
271,205,58,167,445,251,0
272,204,323,412,421,554,0
273,592,350,415,211,605,1
274,591,309,477,254,470,1
275,376,231,151,112,98,0
276,590,468,228,544,250,1
277,589,636,540,430,469,1
278,588,717,661,306,539,0
279,587,428,281,380,635,1
280,586,333,333,207,429,1
281,203,300,319,471,428,0
282,585,44,58,29,41,1
283,584,328,413,433,449,1
284,583,521,512,164,560,0
285,582,46,59,360,83,1
286,581,252,208,407,180,1
287,202,423,361,674,108,0
288,201,549,645,418,591,0
289,200,136,141,312,133,0
290,580,496,284,383,332,1
291,199,140,181,442,405,0
292,198,441,282,452,271,0
293,197,331,269,478,270,0
294,579,448,601,150,533,1
295,364,418,279,229,149,0
296,578,489,505,368,468,1
297,577,160,38,142,158,1
298,576,115,69,555,40,1
299,196,388,352,575,290,0
300,195,105,48,22,230,0
301,575,612,537,204,386,0
302,194,207,470,392,467,0
303,574,162,146,634,48,1
304,193,272,262,222,148,0
305,573,314,478,50,466,0
306,192,472,283,591,269,0
307,191,247,206,338,179,0
308,190,652,543,684,76,0
309,382,335,270,293,268,0
310,189,654,693,616,310,0
311,572,485,564,371,478,1
312,188,332,332,389,289,0
313,571,336,219,208,145,0
314,187,193,299,97,503,0
315,570,670,633,185,645,1
316,374,281,156,633,239,0
317,339,409,429,600,364,1
318,186,460,558,246,306,1
319,356,218,200,627,101,0
320,185,411,277,643,198,1
321,184,274,212,357,249,0
322,183,371,420,648,363,0
323,388,474,642,64,309,1
324,182,175,116,609,94,0
325,569,206,246,121,147,0
326,568,513,380,278,288,1
327,359,99,105,558,123,0
328,181,174,115,422,93,0
329,180,454,161,592,402,1
330,342,246,85,475,232,0
331,567,417,278,287,412,1
332,179,310,266,415,411,1
333,566,393,353,284,287,0
334,565,376,349,346,427,1
335,564,404,596,166,624,1
336,358,426,362,224,150,1
337,178,373,348,301,426,0
338,354,464,501,377,465,0
339,351,365,483,253,464,1
340,333,449,436,476,296,1
341,563,499,377,127,286,0
342,346,463,370,515,285,1
343,177,687,546,540,610,0
344,375,399,355,274,425,1
345,562,243,84,236,65,0
346,366,565,613,630,623,0
347,347,3,1,167,5,0
348,561,163,50,527,58,0
349,355,372,273,565,331,0
350,560,627,684,534,685,1
351,559,285,123,184,92,1
352,176,221,81,516,115,0
353,175,279,214,272,144,0
354,341,315,411,283,553,1
355,353,577,529,126,385,1
356,558,557,647,500,666,1
357,174,177,77,173,64,0
358,557,329,124,234,91,1
359,556,467,440,318,51,1
360,173,233,303,569,345,0
361,555,684,545,316,699,1
362,554,554,662,374,670,1
363,172,114,547,197,677,0
364,171,377,224,577,322,0
365,170,189,79,295,634,0
366,553,653,687,170,673,1
367,169,301,88,55,17,0
368,552,482,644,113,690,1
369,551,392,595,120,487,1
370,168,510,446,331,219,0
371,167,691,695,15,693,0
372,550,613,620,593,700,1
373,166,74,98,144,68,0
374,165,183,117,498,44,0
375,549,361,271,18,146,1
376,164,67,96,480,122,0
377,163,97,67,41,546,0
378,162,167,468,28,524,0
379,161,380,160,618,1,0
380,548,216,398,251,362,1
381,160,195,119,426,90,0
382,547,715,719,117,489,1
383,159,353,343,654,211,0
384,546,661,688,308,684,1
385,545,610,682,587,683,1
386,158,337,335,439,424,0
387,157,282,39,289,22,0
388,156,511,447,75,361,0
389,155,389,274,456,410,0
390,372,130,111,68,18,1
391,544,711,705,419,654,1
392,154,587,286,715,50,0
393,543,100,467,78,303,1
394,542,138,31,160,21,1
395,541,401,357,2,75,1
396,540,458,602,387,396,1
397,153,255,155,436,70,0
398,539,707,714,206,697,1
399,538,403,553,115,616,1
400,537,696,708,672,545,1
401,536,275,52,458,112,1
402,152,435,641,651,226,0
403,151,664,391,508,210,0
404,535,698,692,417,488,1
405,150,127,20,589,3,0
406,149,302,320,473,601,0
407,148,311,410,183,659,0
408,534,600,462,501,110,1
409,147,491,442,252,448,0
410,533,123,394,181,151,1
411,532,129,178,687,49,1
412,146,611,536,512,52,0
413,145,679,634,104,486,0
414,144,490,229,483,598,0
415,531,675,690,699,632,1
416,530,370,222,532,493,1
417,143,109,173,320,73,0
418,142,619,387,98,423,1
419,529,680,674,614,681,1
420,528,623,465,486,447,1
421,141,261,310,191,344,0
422,527,629,587,546,477,1
423,526,530,514,574,463,1
424,140,187,242,101,330,0
425,525,535,384,343,284,1
426,524,590,385,542,343,1
427,139,204,196,256,178,0
428,523,551,521,564,462,1
429,522,567,526,481,559,1
430,521,501,444,309,512,1
431,138,132,234,70,197,0
432,137,291,407,165,360,0
433,136,192,298,99,342,0
434,520,492,506,310,384,1
435,519,503,605,263,622,1
436,518,384,424,247,446,0
437,135,199,245,175,329,0
438,517,421,492,265,558,1
439,134,229,253,226,267,0
440,516,533,516,526,557,1
441,515,662,657,656,628,1
442,514,596,461,376,295,1
443,513,632,588,345,476,1
444,133,156,188,84,248,0
445,512,552,611,576,581,1
446,511,646,542,408,461,1
447,510,571,528,502,460,1
448,132,112,138,43,170,0
449,131,151,186,94,321,0
450,130,53,45,90,79,0
451,509,316,267,333,328,1
452,129,135,180,362,177,0
453,128,338,336,192,341,0
454,508,488,565,332,615,1
455,127,222,251,215,266,0
456,126,224,400,235,359,0
457,125,78,100,40,89,0
458,124,76,135,37,97,0
459,507,531,515,128,383,1
460,506,424,280,212,409,1
461,123,59,131,56,238,0
462,505,606,585,620,569,1
463,504,540,454,572,358,1
464,122,180,193,179,247,0
465,503,624,621,622,485,1
466,121,164,147,161,315,0
467,502,594,534,584,382,1
468,501,645,626,243,484,1
469,120,83,64,33,63,0
470,119,96,233,53,196,0
471,118,113,174,105,143,0
472,117,526,513,159,381,0
473,116,217,302,227,340,0
474,500,635,655,353,590,1
475,499,562,525,378,302,1
476,498,470,441,397,511,1
477,497,558,457,563,445,1
478,115,304,322,335,339,0
479,114,144,184,122,320,0
480,113,308,550,297,393,0
481,112,345,220,663,698,0
482,496,32,25,5,33,0
483,111,35,43,596,159,0
484,495,200,80,617,62,1
485,110,287,87,705,114,0
486,109,51,14,86,25,0
487,494,369,484,17,380,1
488,493,476,643,680,701,1
489,108,574,459,658,444,0
490,492,695,691,13,682,1
491,491,12,0,1,4,1
492,490,683,635,689,688,1
493,107,656,629,76,712,0
494,332,719,718,607,719,1
495,489,592,533,102,609,1
496,488,545,574,488,527,1
497,487,714,639,679,687,1
498,486,450,437,60,552,1
499,485,357,482,474,155,1
500,106,155,297,372,209,0
501,484,81,102,491,88,0
502,483,712,678,688,680,1
503,482,694,696,590,703,1
504,105,45,128,137,314,0
505,104,444,365,579,549,0
506,481,178,396,327,604,1
507,480,690,676,567,669,1
508,103,139,37,652,36,0
509,102,367,272,503,195,0
510,101,249,549,304,614,1
511,100,71,231,342,194,0
512,479,708,697,644,544,1
513,478,259,309,706,600,1
514,477,660,591,39,613,1
515,99,502,508,169,459,0
516,476,671,290,425,193,1
517,475,628,538,402,523,1
518,98,258,593,447,580,0
519,474,674,544,268,639,1
520,97,226,203,629,142,0
521,473,539,453,219,357,1
522,96,402,640,96,589,0
523,472,609,681,536,595,1
524,471,422,433,124,637,1
525,95,60,94,701,401,0
526,94,433,363,317,422,0
527,470,631,389,49,502,1
528,93,50,91,594,43,0
529,469,716,717,186,710,1
530,92,666,631,100,679,1
531,91,159,237,352,656,0
532,90,682,675,487,691,0
533,468,614,288,444,105,1
534,467,710,702,63,704,1
535,466,644,541,494,223,1
536,465,326,330,337,338,1
537,89,77,99,258,87,0
538,88,643,625,10,621,0
539,464,493,376,497,208,1
540,87,240,255,81,192,0
541,86,307,409,364,658,0
542,85,21,18,711,14,0
543,84,39,127,640,169,0
544,83,91,65,718,231,0
545,82,54,92,717,86,0
546,463,593,618,712,662,1
547,462,446,366,604,636,1
548,81,8,4,704,10,0
549,80,98,292,702,207,0
550,79,2,17,719,32,0
551,78,23,40,707,37,0
552,77,0,7,698,7,0
553,461,706,716,65,714,1
554,460,90,136,710,237,1
555,459,713,715,52,718,1
556,76,5,10,359,12,0
557,458,505,445,716,218,1
558,75,6,21,624,15,0
559,457,194,118,450,67,1
560,74,24,41,482,78,0
561,456,718,706,3,694,1
562,455,385,486,714,522,1
563,454,568,527,664,521,1
564,73,7,54,700,61,0
565,72,66,62,697,16,0
566,453,585,617,0,532,1
567,452,1,16,23,20,1
568,451,223,399,708,294,1
569,71,27,42,193,28,0
570,450,407,597,538,678,1
571,70,524,608,692,579,0
572,449,452,499,683,154,1
573,69,48,129,676,168,0
574,448,41,90,713,29,1
575,68,443,125,637,121,0
576,67,157,189,571,246,0
577,447,386,425,223,293,1
578,66,242,153,403,47,0
579,446,456,679,557,713,1
580,363,191,397,632,675,1
581,65,86,170,638,319,0
582,445,630,539,668,379,1
583,444,294,264,682,191,1
584,443,598,582,665,661,1
585,442,604,287,511,327,1
586,64,36,33,178,54,0
587,63,55,93,673,120,0
588,62,181,241,551,326,0
589,61,563,612,334,644,0
590,60,42,230,657,265,0
591,59,215,250,677,264,0
592,441,480,372,649,206,1
593,58,82,63,525,161,0
594,57,141,182,513,141,0
595,56,271,261,136,263,0
596,55,528,383,26,283,0
597,370,651,668,329,649,1
598,440,286,157,675,236,1
599,439,659,289,129,190,1
600,438,504,378,457,337,1
601,54,266,260,323,325,0
602,53,153,143,484,132,0
603,437,570,458,509,443,1
604,436,451,367,454,421,1
605,52,347,480,135,378,0
606,51,56,166,34,140,0
607,50,283,405,103,551,0
608,435,523,382,354,501,1
609,365,437,496,257,608,1
610,49,142,112,82,85,0
611,48,166,238,189,262,0
612,337,453,227,370,139,1
613,47,442,226,107,318,0
614,46,306,265,241,261,0
615,434,161,145,336,235,1
616,45,278,213,106,138,0
617,44,270,313,259,420,0
618,433,597,386,606,282,1
619,432,705,392,696,500,1
620,43,122,176,356,492,0
621,42,61,61,36,82,0
622,41,196,195,48,245,0
623,40,120,71,138,113,0
624,39,290,53,213,57,0
625,431,317,326,395,107,1
626,38,340,159,341,234,0
627,37,413,430,123,510,0
628,36,525,285,260,260,0
629,35,103,393,440,603,1
630,430,62,95,25,119,0
631,34,296,476,176,377,0
632,429,355,221,510,176,1
633,428,650,590,373,568,1
634,33,52,165,35,244,0
635,32,515,511,561,301,1
636,427,420,360,168,419,1
637,31,318,216,273,175,1
638,426,607,652,347,588,1
639,425,649,686,639,672,1
640,30,131,179,61,174,0
641,29,381,422,543,442,1
642,28,73,232,573,189,0
643,27,92,171,411,317,0
644,384,457,500,270,300,1
645,424,374,223,518,316,1
646,26,9,32,16,157,0
647,381,400,356,386,106,1
648,423,241,256,145,324,0
649,422,555,575,566,526,1
650,421,339,337,580,205,1
651,420,688,466,691,441,1
652,369,349,481,216,520,0
653,419,547,456,559,509,1
654,25,319,217,451,404,0
655,345,508,379,595,204,1
656,24,106,68,158,81,0
657,418,542,455,553,356,1
658,23,16,164,7,243,0
659,22,18,55,12,60,0
660,417,469,502,188,519,1
661,21,342,338,523,336,0
662,20,344,479,521,376,0
663,416,584,531,87,518,1
664,415,601,619,59,620,1
665,19,398,428,533,440,0
666,414,500,507,153,375,0
667,413,406,358,199,418,1
668,18,146,296,340,417,0
669,350,228,252,32,259,0
670,412,534,452,57,439,1
671,17,182,149,659,96,0
672,411,391,487,54,374,1
673,335,522,607,582,619,0
674,16,320,327,143,416,0
675,410,580,651,131,665,1
676,15,121,294,703,281,0
677,409,477,371,621,335,1
678,14,128,295,560,499,1
679,408,230,472,381,222,1
680,13,507,509,581,373,0
681,12,414,359,470,334,0
682,379,622,388,537,498,0
683,11,387,351,324,280,0
684,10,431,494,85,372,0
685,407,669,632,71,618,1
686,9,637,656,14,587,0
687,8,366,418,583,292,0
688,7,352,342,597,203,0
689,406,586,580,148,567,1
690,6,263,259,602,258,0
691,405,245,473,267,458,1
692,404,461,369,266,202,1
693,387,498,566,21,305,0
694,5,170,239,358,188,0
695,4,292,475,490,517,1
696,403,434,495,466,221,1
697,402,379,485,182,371,0
698,401,615,586,42,566,1
699,380,26,57,686,39,1
700,400,676,672,111,648,1
701,399,455,557,205,304,1
702,357,346,340,414,497,1
703,340,227,204,495,242,1
704,373,69,133,477,131,0
705,3,20,56,44,312,0
706,398,689,637,8,643,1
707,397,487,375,110,279,1
708,2,38,29,80,34,0
709,1,514,163,325,130,0
710,396,678,659,92,586,1
711,395,362,346,203,278,1
712,394,548,520,231,370,1
713,393,699,660,93,538,1
714,386,158,144,156,313,1
715,392,176,192,31,241,1
716,391,516,381,119,277,1
717,0,359,594,647,711,0
718,390,638,390,463,415,1
719,389,583,530,428,556,1
